id,name
pro_1,Consumer Loan
pro_2,Micro Business Loan
pro_3,Two Wheeler Loan
pro_4,Mort_Hfc
pro_5,Mortgage Loan
pro_6,Vintage Recovery
pro_7,Personal Loan
pro_8,Business Loan
pro_9,Fresh Recovery 
pro_10,Auto/used car Loan
pro_11,Cross sell Loan 
pro_12,Micro enterprises Loan
pro_13,Micro Enterprises loan-Plus
pro_14,Equipment Hypothecation loan
pro_15,commercial vehicle Loan
pro_16,CV_EIDFC
pro_17,EHL_EIDFC
pro_18,LP_EIDFC
pro_19,MEL_EIDFC
pro_20,TW_EIDFC
pro_21,HL_EIDFC
pro_22,MEL PLUS_EIDFC
pro_23,MELPLUS_EIDFC
pro_24,Recovery
pro_25,Credit Card Loan
pro_26,RMEL
